PLAYER_ID,name,team,height,weight,age,gp,min_pg,total_min,ppg,ts_pct,fg2_pct,fg2a,fg3_pct,fg3a,on_ball_def_fg_pct,interior_def_fg_pct,perimeter_def_fg_pct,avg_speed,blk,reb,ast,tov,net_off_rating,stl,net_def_rating,combine_max_vertical,combine_lane_agility,charges_drawn,loose_balls_recovered,box_outs
1642402,Enrique Freeman,IND,79,220,24.0,22,8.2,181.205,2.1,0.507,0.5833333333333334,1.2,0.1,0.5,0.463,0.656,0.3,4.64,0.1,1.4,0.4,0.3,-11.299999999999997,0.1,-2.5999999999999943,35.0,10.99,0.0,0.11,0.5
201569,Eric Gordon,PHI,75,215,36.0,39,19.7,768.4916666666667,6.8,0.591,0.47058823529411775,1.7000000000000002,0.409,3.5,0.48,0.688,0.341,3.78,0.3,1.2,1.7,0.7,0.9000000000000057,0.7,-0.3999999999999915,40.0,10.81,0.0,0.27,0.24
1630596,Evan Mobley,CLE,83,215,24.0,71,30.5,2166.555,18.5,0.633,0.6145833333333331,9.600000000000001,0.37,3.2,0.445,0.544,0.336,4.22,1.6,9.3,3.2,2.0,3.200000000000003,0.9,-2.8000000000000114,,,0.0,0.8,1.63
1630532,Franz Wagner,ORL,82,220,23.0,60,33.7,2023.3066666666666,24.2,0.558,0.5407407407407407,13.499999999999998,0.295,5.9,0.476,0.645,0.366,4.43,0.4,5.7,4.7,2.3,7.8999999999999915,1.3,-4.299999999999997,,,0.08,0.67,0.45
1627832,Fred VanVleet,HOU,72,197,31.0,60,35.2,2111.298333333333,14.1,0.515,0.42,4.999999999999999,0.345,7.7,0.461,0.6,0.322,4.08,0.4,3.7,5.6,1.5,2.4000000000000057,1.6,-0.9000000000000057,,,0.02,0.75,0.47
1641713,GG Jackson,MEM,81,210,20.0,29,15.8,458.615,7.2,0.482,0.41666666666666663,3.6000000000000005,0.337,3.3,0.483,0.623,0.397,4.42,0.2,3.2,1.0,1.1,-4.599999999999994,0.4,7.3999999999999915,37.0,11.39,0.0,0.37,0.22
1629216,Gabe Vincent,LAL,74,200,29.0,72,21.2,1527.265,6.4,0.536,0.5333333333333332,1.5,0.353,4.3,0.45,0.642,0.352,4.23,0.2,1.3,1.4,0.6,-3.0,0.7,-2.8999999999999915,,,0.17,0.42,0.39
202066,Garrett Temple,TOR,77,195,39.0,28,8.1,226.76833333333335,1.9,0.406,0.3636363636363636,1.1,0.214,1.0,0.473,0.613,0.471,4.36,0.1,1.0,1.1,0.4,-3.1000000000000085,0.6,-2.4000000000000057,,,0.05,0.21,0.11
1629726,Garrison Mathews,ATL,78,215,28.0,47,17.6,829.5083333333333,7.5,0.606,0.4444444444444444,0.9000000000000004,0.39,4.6,0.507,0.663,0.437,4.4,0.3,1.9,1.3,0.7,-6.5,0.6,-3.299999999999997,,,0.24,0.29,0.31
203914,Gary Harris,ORL,76,210,30.0,48,14.8,710.71,3.0,0.524,0.4285714285714288,0.6999999999999997,0.356,2.1,0.426,0.575,0.33,4.33,0.3,1.3,0.6,0.4,2.4000000000000057,0.5,-6.200000000000003,,,0.0,0.36,0.2
