PLAYER_ID,name,team,height,weight,age,ppg,ts_pct,on_ball_def_fg_pct,blk,reb,ast,tov,off_rating,stl,def_rating,combine_max_vertical,combine_lane_agility,charges_drawn,loose_balls_recovered,box_outs
1628374,Lauri Markkanen,UTA,84,240,28.0,19.0,0.571,0.471,0.4,5.9,1.5,1.4,111.4,0.7,117.5,,,0.0,0.53,1.04
2544,LeBron James,LAL,81,250,40.0,24.4,0.604,0.443,0.6,7.8,8.2,3.7,112.7,1.0,114.0,,,0.13,0.67,0.63
1631159,Leonard Miller,MIN,82,220,21.0,1.5,0.54,0.444,0.1,0.8,0.0,0.2,79.2,0.2,98.6,37.5,11.0,0.0,0.0,0.33
1631311,Lester Quiñones,NOP,76,208,24.0,6.6,0.514,0.42,0.2,1.5,1.8,1.1,104.5,0.2,110.4,,,0.11,0.11,0.33
1641857,Liam Robbins,MIL,84,250,25.0,0.7,0.363,0.474,0.2,0.9,0.2,0.5,80.3,0.2,85.6,,,0.0,0.0,0.45
1630322,Lindy Waters III,DET,78,210,27.0,4.9,0.504,0.5,0.2,2.1,1.0,0.4,111.6,0.5,110.2,,,0.09,0.22,0.35
1629022,Lonnie Walker IV,PHI,76,204,26.0,12.4,0.548,0.521,0.3,3.2,2.5,1.3,104.7,0.5,118.7,40.0,10.87,0.0,0.33,0.06
1628366,Lonzo Ball,CHI,78,190,27.0,7.6,0.524,0.461,0.5,3.4,3.3,1.2,113.5,1.3,108.0,,,0.0,0.57,0.34
1629652,Luguentz Dort,OKC,76,220,26.0,10.1,0.586,0.419,0.5,4.1,1.6,0.7,120.4,1.1,107.3,38.0,10.79,0.08,0.69,0.68
1629029,Luka Dončić,LAL,78,230,26.0,28.2,0.587,0.463,0.4,8.2,7.7,3.6,119.6,1.8,110.5,,,0.08,0.54,0.44
1630568,Luka Garza,MIN,82,243,26.0,3.5,0.573,0.532,0.1,1.4,0.3,0.3,107.9,0.2,107.5,29.5,11.9,0.12,0.21,0.55
1628379,Luke Kennard,MEM,77,206,29.0,8.9,0.631,0.456,0.1,2.8,3.3,1.1,117.6,0.8,114.5,,,0.0,0.3,0.27
