name,team,pctile_min,pctile_ppg,pctile_fg2_pct,pctile_interior_def_fg_pct,pctile_blk,pctile_reb,pctile_ast_minus_tov,pctile_net_off_rating,pctile_fg3m,pctile_perimeter_def_fg_pct,pctile_net_def_rating,pctile_stl,pctile_avg_speed,pctile_loose_balls,pctile_charges,pctile_box_outs
Jaylen Clark,MIN,2.4,6.4,14.5,12.1,7.3,2.5,25.6,49.2,21.9,39.6,49.3,64.0,50.4,18.4,66.7,18.1
Jaylen Wells,MEM,77.9,54.9,42.4,58.9,7.3,39.1,42.7,65.2,68.8,59.7,26.4,29.5,90.7,47.9,78.1,38.8
Jaylin Williams,OKC,17.9,16.9,68.3,58.1,74.1,75.3,76.3,74.8,52.5,97.6,76.8,18.4,4.5,16.8,98.9,87.5
Jayson Tatum,BOS,96.5,98.7,61.6,35.2,64.7,94.1,89.6,78.4,98.1,67.1,32.4,80.7,1.3,76.3,24.0,63.7
Jeff Dowtin Jr.,PHI,8.5,27.5,33.9,34.1,38.4,4.8,69.3,27.5,26.1,67.1,45.9,29.5,19.5,15.1,24.0,4.4
Jerami Grant,POR,53.9,72.5,1.9,89.9,89.7,41.7,40.1,19.5,84.8,22.8,37.6,64.0,17.9,65.9,81.5,35.7
Jeremiah Robinson-Earl,NOP,39.7,19.7,69.5,44.9,7.3,66.3,25.6,34.8,32.3,73.9,31.5,29.5,95.6,52.9,24.0,76.5
Jeremy Sochan,SAS,46.1,60.5,77.9,72.0,64.7,84.1,42.7,41.9,20.5,76.3,53.9,52.1,78.5,64.5,24.0,65.7
Jericho Sims,MIL,9.3,0.3,87.2,97.6,51.6,46.3,5.2,3.6,3.5,31.2,90.1,0.8,69.3,9.7,24.0,90.0
Jett Howard,ORL,13.3,9.3,49.5,24.1,22.4,1.2,8.7,9.9,35.2,76.3,40.8,0.8,15.1,2.8,24.0,2.5
Jimmy Butler III,GSW,63.5,80.7,53.7,21.1,38.4,73.9,96.3,21.9,22.7,39.6,68.8,92.4,36.4,96.8,58.1,74.7
Jock Landale,HOU,0.3,11.2,45.9,36.9,22.4,36.0,20.7,19.9,13.1,32.9,17.6,3.5,56.9,8.1,66.7,86.7
Joel Embiid,PHI,5.3,93.1,22.9,59.6,86.3,92.4,62.7,7.1,49.3,31.2,96.8,40.9,0.5,76.3,24.0,96.3
John Collins,UTA,38.4,84.9,71.7,37.9,89.7,92.4,0.4,81.9,57.3,56.4,94.9,73.9,50.4,84.0,78.1,78.8
John Konchar,MEM,4.3,0.8,70.9,72.9,38.4,36.0,32.1,21.3,18.7,24.3,85.9,40.9,96.9,35.6,66.7,31.5
Johnny Juzang,UTA,42.1,41.2,63.2,26.1,7.3,26.4,25.6,28.7,72.0,18.7,21.6,29.5,98.9,27.2,66.7,29.7
Jonas Valanciunas,SAC,54.1,54.9,76.9,3.5,74.1,89.5,25.6,78.4,9.9,1.1,60.7,18.4,12.4,6.0,24.0,95.7
Jonathan Isaac,ORL,32.3,14.4,63.2,96.5,92.3,60.5,8.7,31.2,21.3,0.5,64.3,64.0,46.4,23.6,24.0,77.7
Jonathan Kuminga,GSW,34.7,75.7,30.7,60.5,51.6,63.3,40.1,18.8,36.8,72.3,64.7,52.1,85.5,72.4,73.2,63.7
Jonathan Mogbo,TOR,42.9,19.1,16.9,38.9,64.7,68.0,61.2,8.4,13.3,91.3,52.4,64.0,52.9,41.1,24.0,70.1
Jordan Clarkson,UTA,26.4,77.3,5.1,36.3,22.4,33.3,68.0,32.5,84.5,43.3,63.6,52.1,38.4,78.9,24.0,27.3
Jordan Goodwin,LAL,3.5,15.5,18.7,1.6,51.6,52.3,25.6,18.8,33.3,44.9,43.5,73.9,78.5,80.3,24.0,62.8
Jordan Hawkins,NOP,43.7,57.2,4.3,28.3,51.6,23.9,12.5,28.7,76.0,63.5,42.4,18.4,87.5,25.2,58.1,7.2
Jordan Poole,WAS,76.0,88.0,26.5,3.9,51.6,29.3,69.3,47.7,97.9,1.9,24.5,89.7,20.8,73.7,24.0,6.4
Jose Alvarado,NOP,46.4,54.0,4.0,30.1,38.4,16.3,88.9,44.0,77.3,82.9,59.2,89.7,67.5,78.9,78.1,27.3
Josh Giddey,CHI,80.8,73.5,34.8,42.0,74.1,91.5,97.5,74.8,58.1,72.3,22.8,85.7,82.5,91.6,24.0,15.1
Josh Green,CHA,71.7,31.2,10.5,14.3,22.4,18.1,32.1,43.1,54.9,22.8,45.9,80.7,93.6,75.1,24.0,11.3
Josh Hart,NYK,99.7,69.6,85.9,32.3,51.6,95.2,94.3,87.3,42.1,40.7,2.4,94.4,19.5,99.7,66.7,62.4
Josh Okogie,CHA,9.1,28.1,45.9,1.1,64.7,23.9,5.2,13.9,30.7,100.0,79.5,85.7,60.3,75.1,24.0,52.3
Jrue Holiday,BOS,72.5,59.3,61.1,51.2,51.6,59.1,85.1,24.0,65.9,71.1,70.1,80.7,24.0,89.1,58.1,71.1
Julian Champagnie,SAS,73.3,50.1,54.9,46.3,51.6,52.3,25.6,56.3,82.9,40.7,53.9,40.9,69.3,21.6,24.0,49.2
Julian Phillips,CHI,33.9,10.5,78.7,26.1,38.4,10.9,12.5,58.8,23.5,82.9,78.8,18.4,94.4,19.6,24.0,35.7
Julian Strawther,DEN,47.5,42.5,43.5,44.9,22.4,12.5,20.7,5.2,56.0,19.9,40.1,29.5,65.1,25.2,24.0,43.6
Julius Randle,MIN,85.3,84.0,60.1,67.3,22.4,86.9,76.8,66.9,60.3,47.9,8.3,40.9,11.2,97.6,24.0,86.9
Justin Champagnie,WAS,44.8,40.3,90.4,94.1,74.1,77.2,8.7,77.6,48.3,67.1,49.6,73.9,78.5,45.9,24.0,35.7
Justin Edwards,PHI,35.2,52.1,47.3,11.3,51.6,39.1,25.6,68.5,59.2,13.5,0.4,73.9,36.4,55.2,58.1,43.6
